topic_b,n_docs_b,dominant_source,dominant_pct,outlier_pct,category
11,127,11,14.2,2.4,mixed
15,38,11,7.9,2.6,mixed
3,37,25,10.8,0.0,mixed
38,33,28,12.1,0.0,mixed
4,33,11,15.2,3.0,mixed
20,32,11,21.9,3.1,mixed
6,32,33,9.4,3.1,mixed
28,31,16,12.9,6.5,mixed
24,31,10,16.1,0.0,mixed
32,30,29,10.0,0.0,mixed
22,30,11,13.3,6.7,mixed
19,30,11,13.3,0.0,mixed
31,29,11,20.7,0.0,mixed
26,29,11,13.8,0.0,mixed
40,29,11,13.8,6.9,mixed
2,28,11,17.9,0.0,mixed
36,28,16,14.3,0.0,mixed
37,27,27,11.1,7.4,mixed
34,27,37,14.8,3.7,mixed
39,26,11,11.5,3.8,mixed
1,26,11,15.4,0.0,mixed
29,26,38,11.5,0.0,mixed
10,26,40,15.4,3.8,mixed
8,25,11,12.0,4.0,mixed
16,25,30,12.0,0.0,mixed
0,25,11,16.0,4.0,mixed
23,25,11,20.0,0.0,mixed
18,24,19,12.5,4.2,mixed
25,23,11,17.4,0.0,mixed
12,23,12,8.7,4.3,mixed
17,23,33,13.0,4.3,mixed
9,22,11,22.7,0.0,mixed
27,22,11,13.6,0.0,mixed
7,22,0,13.6,0.0,mixed
33,22,4,9.1,9.1,mixed
21,22,11,18.2,0.0,mixed
35,21,31,9.5,0.0,mixed
13,19,11,15.8,0.0,mixed
30,18,20,16.7,0.0,mixed
14,16,15,18.8,6.2,mixed
5,13,7,15.4,0.0,mixed
