topic_a,n_total,n_changed,pct_changed,n_destinations,raw_entropy,norm_entropy,band
1,20,20,100.0,13,2.385,0.93,near_max
20,37,37,100.0,22,2.892,0.936,near_max
19,26,25,96.2,17,2.678,0.945,near_max
8,24,24,100.0,17,2.694,0.951,near_max
18,21,20,95.2,13,2.441,0.952,near_max
27,25,25,100.0,17,2.699,0.953,near_max
6,26,25,96.2,16,2.643,0.953,near_max
13,36,34,94.4,20,2.859,0.954,near_max
37,36,35,97.2,21,2.907,0.955,near_max
12,22,22,100.0,15,2.587,0.955,near_max
38,36,34,94.4,25,3.086,0.959,near_max
35,24,24,100.0,17,2.716,0.959,near_max
22,22,21,95.5,15,2.599,0.96,near_max
10,29,29,100.0,18,2.776,0.96,near_max
28,28,26,92.9,18,2.778,0.961,near_max
31,24,23,95.8,16,2.668,0.962,near_max
14,38,38,100.0,22,2.974,0.962,near_max
24,28,28,100.0,19,2.837,0.964,near_max
34,29,29,100.0,21,2.937,0.965,near_max
32,23,23,100.0,18,2.789,0.965,near_max
9,26,26,100.0,17,2.738,0.966,near_max
25,29,29,100.0,22,2.985,0.966,near_max
39,28,27,96.4,19,2.846,0.967,near_max
4,28,27,96.4,18,2.795,0.967,near_max
26,29,28,96.6,21,2.948,0.968,near_max
17,23,22,95.7,16,2.689,0.97,near_max
11,118,96,81.4,38,3.528,0.97,near_max
21,23,23,100.0,17,2.751,0.971,near_max
23,22,20,90.9,16,2.692,0.971,near_max
7,26,25,96.2,18,2.81,0.972,near_max
5,25,25,100.0,19,2.865,0.973,near_max
15,26,25,96.2,20,2.921,0.975,near_max
40,24,24,100.0,20,2.925,0.976,near_max
30,16,16,100.0,12,2.426,0.976,near_max
2,31,31,100.0,24,3.104,0.977,near_max
33,26,23,88.5,17,2.774,0.979,near_max
16,26,24,92.3,17,2.774,0.979,near_max
36,25,24,96.0,17,2.774,0.979,near_max
3,26,26,100.0,21,2.992,0.983,near_max
0,24,23,95.8,19,2.894,0.983,near_max
29,20,20,100.0,18,2.857,0.988,near_max
