UHELDS_ID,accident_date,report_category,encoded_accident_situation,accident_situation,police_narrative,year,main_situation_class,n_words,UH_GEOMETRI,ADM_VEJ1_NR,KODE_UHELDKOMMUNE,X_KOORDINAT,Y_KOORDINAT,x,y,vejkode_clean
1,01-01-2025,Mskpuh,398,398,This is narrative 1,2025,3,4,,483721.0,101.0,,,12.60074718,55.70691135,3721
2,08-01-2025,Anmsuh,170,170,This is narrative 2,2025,1,4,,612945.0,147.0,,,,,2945
3,15-01-2025,Pskduh,250,250,This is narrative 3,2025,2,4,,751204.0,151.0,,,,,1204
4,22-01-2025,Anmsuh,910,910,This is narrative 4,2025,9,4,,394812.0,153.0,,,,,4812
5,29-01-2025,Mskpuh,751,751,This is narrative 5,2025,7,4,,826153.0,155.0,,,,,6153
6,05-02-2025,Mskpuh,710,710,This is narrative 6,2025,7,4,,547291.0,157.0,,,,,7291
7,12-02-2025,Exuh,151,151,This is narrative 7,2025,1,4,,683920.0,159.0,,,,,3920
8,19-02-2025,Anmsuh,831,831,This is narrative 8,2025,8,4,,912487.0,161.0,,,,,2487
9,26-02-2025,Pskduh,140,140,This is narrative 9,2025,1,4,,475638.0,163.0,536854.561,6348208.436,,,5638
10,05-03-2025,Anmsuh,398,398,This is narrative 10,2025,3,4,,358194.0,165.0,558514.56,6227161.259,,,8194
11,12-03-2025,Anmsuh,999,999,This is narrative 11,2025,9,4,,,167.0,,,,,
12,19-03-2025,Mskpuh,740,740,This is narrative 12,2025,7,4,,,169.0,,,,,
13,26-03-2025,Anmsuh,644,644,This is narrative 13,2025,6,4,,,173.0,,,,,
14,02-04-2025,Anmsuh,811,811,This is narrative 14,2025,8,4,,965204.0,175.0,558514.56,6178270.895,,,5204
15,09-04-2025,Mskpuh,874,874,This is narrative 15,2025,8,4,,417890.0,183.0,487114.288,6275061.587,,,7890
16,16-04-2025,Mskpuh,851,851,This is narrative 16,2025,8,4,,538126.0,185.0,722466.145,6348208.436,,,8126
17,23-04-2025,Anmsuh,211,211,This is narrative 17,2025,2,4,,682945.0,187.0,536854.561,6227161.259,,,2945
18,30-04-2025,Mskpuh,21,21,This is narrative 18,2025,0,4,,741582.0,190.0,558514.56,6176427.058,,,1582
19,07-05-2025,Exuh,312,312,This is narrative 19,2025,3,4,"M93672,-548541,",856413.0,201.0,487114.288,6174995.451,9.3672,54.8541,6413
20,14-05-2025,Anmsuh,250,250,This is narrative 20,2025,2,4,"M96975,-549562,",492105.0,210.0,722466.145,6226783.559,9.6975,54.9562,2105
21,21-05-2025,Exuh,170,170,This is narrative 21,2025,1,4,"M123087,-556003,",603874.0,217.0,,,12.3087,55.6003,3874
22,28-05-2025,Mskpuh,920,920,This is narrative 22,2025,9,4,"M117834,-556964,",771236.0,219.0,,,11.7834,55.6964,1236
23,04-06-2025,Pskduh,877,877,This is narrative 23,2025,8,4,"M122138,-555464,",889415.0,223.0,,,12.2138,55.5464,9415
24,11-06-2025,Anmsuh,312,312,This is narrative 24,2025,3,4,"M122434,-555719,",514782.0,230.0,,,12.2434,55.5719,4782
25,18-06-2025,Exuh,752,752,This is narrative 25,2025,7,4,"M95762,-557279,",346917.0,240.0,,,9.5762,55.7279,6917
26,25-06-2025,Pskduh,420,420,This is narrative 26,2025,4,4,"M97701,-561097,",957381.0,250.0,,,9.7701,56.1097,7381
27,02-07-2025,Anmsuh,880,880,This is narrative 27,2025,8,4,"M94761,-557543,",628154.0,253.0,487114.288,6226783.559,9.4761,55.7543,8154
28,09-07-2025,Anmsuh,520,520,This is narrative 28,2025,5,4,"M96057,-556368,",704693.0,259.0,722466.145,6178270.895,9.6057,55.6368,4693
29,16-07-2025,Exuh,250,250,This is narrative 29,2025,2,4,"M97171,-556506,",815027.0,265.0,536854.561,6275061.587,9.7171,55.6506,5027
30,23-07-2025,Mskpuh,241,241,This is narrative 30,2025,2,4,"M95227,-557086,",439185.0,269.0,558514.56,6348208.436,9.5227,55.7086,9185
31,30-07-2025,Exuh,650,650,This is narrative 31,2025,6,4,"M97145,-555704,",562741.0,270.0,487114.288,6227161.259,9.7145,55.5704,2741
32,06-08-2025,Mskpuh,250,250,This is narrative 32,2025,2,4,"M93452,-554438,",691824.0,306.0,722466.145,6176427.058,9.3452,55.4438,1824
