Topic,Count,Name
-1,25,-1_synthetic_topic
0,24,0_synthetic_topic
1,20,1_synthetic_topic
2,31,2_synthetic_topic
3,26,3_synthetic_topic
4,28,4_synthetic_topic
5,25,5_synthetic_topic
6,26,6_synthetic_topic
7,26,7_synthetic_topic
8,24,8_synthetic_topic
9,26,9_synthetic_topic
10,29,10_synthetic_topic
11,118,11_synthetic_topic
12,22,12_synthetic_topic
13,36,13_synthetic_topic
14,38,14_synthetic_topic
15,26,15_synthetic_topic
16,26,16_synthetic_topic
17,23,17_synthetic_topic
18,21,18_synthetic_topic
19,26,19_synthetic_topic
20,37,20_synthetic_topic
21,23,21_synthetic_topic
22,22,22_synthetic_topic
23,22,23_synthetic_topic
24,28,24_synthetic_topic
25,29,25_synthetic_topic
26,29,26_synthetic_topic
27,25,27_synthetic_topic
28,28,28_synthetic_topic
29,20,29_synthetic_topic
30,16,30_synthetic_topic
31,24,31_synthetic_topic
32,23,32_synthetic_topic
33,26,33_synthetic_topic
34,29,34_synthetic_topic
35,24,35_synthetic_topic
36,25,36_synthetic_topic
37,36,37_synthetic_topic
38,36,38_synthetic_topic
39,28,39_synthetic_topic
40,24,40_synthetic_topic
