document_index,assigned_topic,assigned_topic_probability
0,0,1.0
1,0,1.0
2,0,1.0
3,0,1.0
4,1,1.0
5,2,1.0
6,0,1.0
7,3,1.0
8,0,1.0
9,1,1.0
10,1,0.9384052170038659
11,0,1.0
12,0,1.0
13,0,1.0
14,0,0.941419349497282
15,1,1.0
16,0,1.0
17,0,1.0
18,0,1.0
19,0,1.0
20,1,1.0
21,0,1.0
22,0,1.0
23,0,1.0
24,0,1.0
25,1,1.0
26,1,1.0
27,1,1.0
28,1,1.0
29,1,1.0
30,0,1.0
31,1,1.0
32,0,1.0
33,1,1.0
34,0,1.0
35,0,1.0
36,0,1.0
37,0,1.0
38,0,1.0
39,2,0.7738219465426859
40,0,1.0
41,0,1.0
42,1,1.0
43,1,1.0
44,3,0.597145373368886
45,0,1.0
46,0,1.0
47,0,1.0
48,0,1.0
49,1,1.0
50,1,1.0
51,1,1.0
52,0,1.0
53,0,1.0
54,1,1.0
55,1,1.0
56,1,1.0
57,0,1.0
58,0,1.0
59,1,1.0
60,0,1.0
61,0,1.0
62,1,1.0
63,0,1.0
64,0,1.0
65,1,1.0
66,0,1.0
67,1,1.0
68,0,1.0
69,1,1.0
70,1,1.0
71,1,1.0
72,0,1.0
73,0,1.0
74,0,1.0
75,2,1.0
76,3,1.0
77,1,1.0
78,0,1.0
79,0,1.0
80,0,1.0
81,0,1.0
82,1,0.7554085456069856
83,0,1.0
84,1,1.0
85,0,1.0
86,0,1.0
87,2,1.0
88,1,1.0
89,3,0.9688965417224052
90,0,1.0
91,0,1.0
92,1,1.0
93,1,1.0
94,0,1.0
95,0,1.0
96,0,1.0
97,0,1.0
98,0,1.0
99,1,1.0
100,1,1.0
101,0,1.0
102,0,1.0
103,1,1.0
104,0,1.0
105,1,1.0
106,0,1.0
107,2,1.0
108,1,1.0
109,3,1.0
110,1,1.0
111,0,1.0
112,0,1.0
113,1,1.0
114,1,1.0
115,0,1.0
116,1,1.0
117,0,1.0
118,1,1.0
119,2,1.0
120,0,1.0
121,0,1.0
122,1,1.0
123,0,1.0
124,1,0.8034777179715022
125,0,1.0
126,1,1.0
127,3,1.0
128,0,1.0
129,2,1.0
130,1,1.0
131,3,0.597145373368886
132,1,1.0
133,1,1.0
134,1,0.9849532346083831
135,1,1.0
136,1,1.0
137,0,1.0
138,0,1.0
139,1,1.0
140,1,1.0
141,0,1.0
142,1,1.0
143,1,1.0
144,0,1.0
145,1,1.0
146,0,1.0
147,1,1.0
148,1,1.0
149,1,1.0
150,0,1.0
151,2,1.0
152,0,1.0
153,0,1.0
154,0,1.0
155,1,1.0
156,1,1.0
157,1,1.0
158,1,0.9233369425362494
159,0,1.0
160,0,1.0
161,0,1.0
162,3,1.0
163,1,0.7853198524086951
164,0,1.0
165,0,1.0
166,0,1.0
167,1,1.0
168,0,1.0
169,1,1.0
170,0,1.0
171,1,0.8454868261334173
172,1,1.0
173,1,1.0
174,1,1.0
175,1,1.0
176,0,1.0
177,1,1.0
178,0,1.0
179,1,1.0
180,1,1.0
181,0,1.0
182,1,1.0
183,0,1.0
184,1,1.0
185,0,1.0
186,1,1.0
187,0,1.0
188,1,1.0
189,0,1.0
190,2,1.0
191,0,1.0
192,0,1.0
193,0,1.0
194,0,1.0
195,0,1.0
196,1,1.0
197,0,1.0
198,1,1.0
199,1,1.0
200,0,1.0
201,0,1.0
202,0,1.0
203,0,1.0
204,3,0.597145373368886
205,0,1.0
206,0,1.0
207,0,1.0
208,1,1.0
209,0,1.0
210,0,1.0
211,0,1.0
212,0,1.0
213,0,1.0
214,1,0.9997411198389429
215,1,1.0
216,0,1.0
217,1,1.0
218,1,1.0
219,1,1.0
220,1,1.0
221,1,1.0
222,1,1.0
223,0,1.0
224,0,1.0
225,0,1.0
226,2,1.0
227,3,1.0
228,1,1.0
229,0,1.0
230,1,1.0
231,0,1.0
232,1,1.0
233,1,1.0
234,1,1.0
235,0,1.0
236,0,1.0
237,0,1.0
238,0,1.0
239,1,1.0
240,0,1.0
241,1,1.0
242,0,1.0
243,1,1.0
244,1,1.0
245,0,1.0
246,1,1.0
247,1,1.0
248,1,1.0
249,0,1.0
250,1,1.0
251,1,1.0
252,1,1.0
253,0,1.0
254,0,1.0
255,0,1.0
256,0,1.0
257,0,1.0
258,0,1.0
259,2,1.0
260,0,1.0
261,0,1.0
262,3,1.0
263,1,1.0
264,0,1.0
265,0,1.0
266,0,1.0
267,0,1.0
268,0,1.0
269,0,1.0
270,2,0.7738219465426859
271,0,1.0
272,3,1.0
273,0,1.0
274,0,1.0
275,1,1.0
276,1,1.0
277,0,1.0
278,1,1.0
279,0,1.0
280,1,1.0
281,1,1.0
282,1,1.0
283,1,1.0
284,1,1.0
285,0,1.0
286,1,1.0
287,0,1.0
288,0,1.0
289,1,1.0
290,0,1.0
291,1,1.0
292,0,1.0
293,1,1.0
294,0,1.0
295,0,1.0
296,1,1.0
297,1,0.8874727041797106
298,1,1.0
299,1,1.0
300,0,1.0
301,1,0.7797941964298756
302,1,1.0
303,1,1.0
304,0,1.0
305,1,0.9896214667987834
306,0,1.0
307,1,1.0
308,0,1.0
309,0,1.0
310,0,1.0
311,1,1.0
312,0,1.0
313,1,1.0
314,1,1.0
315,1,1.0
316,0,1.0
317,0,1.0
318,1,1.0
319,0,1.0
320,0,1.0
321,0,1.0
322,1,1.0
323,0,1.0
324,1,1.0
325,1,1.0
326,0,1.0
327,0,1.0
328,0,1.0
329,1,1.0
330,0,1.0
331,2,1.0
332,0,1.0
333,3,1.0
334,0,1.0
335,2,1.0
336,1,1.0
