document_index,assigned_topic,assigned_topic_probability
0,21,0.14
1,4,0.975
2,17,0.782
3,17,0.596
4,18,0.127
5,1,0.564
6,29,0.088
7,11,0.932
8,29,0.286
9,7,0.4
10,7,0.637
11,0,0.019
12,34,0.542
13,15,0.715
14,4,0.207
15,9,0.154
16,4,0.488
17,3,0.537
18,2,0.439
19,29,0.296
20,23,0.41
21,37,0.312
22,11,0.25
23,11,0.472
24,21,0.396
25,38,0.435
26,38,0.0
27,11,0.693
28,24,0.047
29,31,0.207
30,35,0.803
31,16,0.984
32,25,0.991
33,19,0.592
34,25,0.259
35,26,0.835
36,23,0.65
37,31,0.986
38,2,0.549
39,1,0.526
40,34,0.044
41,15,0.194
42,15,0.667
43,31,0.994
44,21,0.476
45,21,0.029
46,38,0.4
47,13,0.126
48,10,0.96
49,0,0.141
50,38,0.118
51,-1,0.458
52,16,0.542
53,16,0.717
54,37,0.368
55,19,0.897
56,-1,0.599
57,8,0.047
58,20,0.034
59,32,0.469
60,1,0.439
61,29,0.452
62,6,0.057
63,6,0.053
64,4,0.061
65,11,0.734
66,24,0.601
67,35,0.136
68,1,0.431
69,37,0.943
70,11,0.069
71,11,0.189
72,11,0.39
73,27,0.236
74,19,0.159
75,38,0.973
76,18,0.766
77,5,0.729
78,12,0.932
79,5,0.187
80,10,0.89
81,0,0.983
82,18,0.586
83,21,0.903
84,20,0.816
85,8,0.318
86,10,0.332
87,22,0.676
88,12,0.552
89,-1,0.385
90,29,0.047
91,21,0.023
92,7,0.098
93,11,0.404
94,9,0.027
95,29,0.148
96,0,0.968
97,14,0.451
98,9,0.933
99,11,0.19
100,17,0.359
101,9,0.671
102,11,0.99
103,11,0.7
104,35,0.902
105,9,0.049
106,5,0.304
107,31,0.883
108,16,0.523
109,38,0.17
110,28,0.17
111,6,0.759
112,11,0.158
113,-1,0.498
114,18,0.181
115,2,0.208
116,11,0.397
117,32,0.118
118,38,0.659
119,1,0.166
120,34,0.752
121,30,0.521
122,34,0.346
123,16,0.614
124,11,0.408
125,16,0.082
126,27,0.309
127,29,0.525
128,11,0.104
129,12,0.732
130,40,0.356
131,33,0.205
132,1,0.008
133,2,0.085
134,32,0.237
135,11,0.367
136,7,0.153
137,36,0.545
138,-1,0.194
139,5,0.955
140,22,0.565
141,22,0.797
142,8,0.422
143,25,0.205
144,11,0.45
145,4,0.412
146,31,0.624
147,21,0.911
148,36,0.237
149,9,0.097
150,27,0.715
151,30,0.0
152,14,0.795
153,22,0.728
154,29,0.826
155,11,0.091
156,26,0.204
157,11,0.552
158,9,0.327
159,29,0.846
160,23,0.458
161,7,0.429
162,34,0.185
163,0,0.562
164,24,0.346
165,9,0.451
166,28,0.271
167,36,0.609
168,26,0.838
169,15,0.021
170,25,0.231
171,7,0.677
172,2,0.707
173,14,0.294
174,24,0.286
175,15,0.747
176,3,0.558
177,18,0.389
178,35,0.055
179,17,0.653
180,18,0.293
181,11,0.577
182,19,0.722
183,11,0.463
184,39,0.253
185,32,0.214
186,28,0.705
187,26,0.892
188,12,0.98
189,27,0.803
190,11,0.603
191,7,0.864
192,35,0.39
193,40,0.882
194,1,0.43
195,11,0.595
196,19,0.17
197,27,0.497
198,20,0.341
199,30,0.367
200,33,0.598
201,10,0.882
202,11,0.826
203,2,0.349
204,3,0.734
205,11,0.548
206,36,0.348
207,22,0.908
208,29,0.161
209,39,0.805
210,11,0.212
211,29,0.892
212,25,0.721
213,38,0.465
214,11,0.077
215,25,0.18
216,34,0.165
217,19,0.762
218,11,0.622
219,38,0.218
220,5,0.368
221,33,0.309
222,34,0.652
223,0,0.33
224,13,0.769
225,23,0.695
226,3,0.243
227,11,0.324
228,12,0.549
229,38,0.908
230,16,0.111
231,27,0.359
232,24,0.599
233,17,0.325
234,2,0.29
235,39,0.432
236,21,0.193
237,13,0.603
238,17,0.878
239,17,0.911
240,40,0.471
241,15,0.293
242,40,0.382
243,11,0.228
244,7,0.599
245,5,0.135
246,38,0.318
247,11,0.171
248,19,0.205
249,1,0.671
250,5,0.993
251,38,0.675
252,39,0.244
253,12,0.408
254,28,0.628
255,12,0.867
256,39,0.714
257,4,0.145
258,2,0.604
259,13,0.197
260,6,0.374
261,28,0.965
