Topic,Count,Name
-1,26,-1_synthetic_topic
0,27,0_synthetic_topic
1,27,1_synthetic_topic
2,18,2_synthetic_topic
3,22,3_synthetic_topic
4,34,4_synthetic_topic
5,23,5_synthetic_topic
6,31,6_synthetic_topic
7,24,7_synthetic_topic
8,21,8_synthetic_topic
9,28,9_synthetic_topic
10,23,10_synthetic_topic
11,123,11_synthetic_topic
12,32,12_synthetic_topic
13,21,13_synthetic_topic
14,18,14_synthetic_topic
15,28,15_synthetic_topic
16,20,16_synthetic_topic
17,21,17_synthetic_topic
18,28,18_synthetic_topic
19,20,19_synthetic_topic
20,31,20_synthetic_topic
21,33,21_synthetic_topic
22,32,22_synthetic_topic
23,31,23_synthetic_topic
24,29,24_synthetic_topic
25,18,25_synthetic_topic
26,32,26_synthetic_topic
27,20,27_synthetic_topic
28,27,28_synthetic_topic
29,30,29_synthetic_topic
30,28,30_synthetic_topic
31,29,31_synthetic_topic
32,28,32_synthetic_topic
33,27,33_synthetic_topic
34,23,34_synthetic_topic
35,31,35_synthetic_topic
36,30,36_synthetic_topic
37,29,37_synthetic_topic
38,23,38_synthetic_topic
39,20,39_synthetic_topic
40,34,40_synthetic_topic
