document_index,assigned_topic,assigned_topic_probability
0,0,1.0
1,0,1.0
2,0,1.0
3,0,1.0
4,1,1.0
5,6,1.0
6,0,1.0
7,7,1.0
8,0,1.0
9,3,1.0
10,1,1.0
11,0,1.0
12,0,1.0
13,0,1.0
14,0,1.0
15,3,0.7168911988268005
16,0,1.0
17,0,1.0
18,0,1.0
19,0,1.0
20,1,1.0
21,0,1.0
22,0,1.0
23,0,1.0
24,0,1.0
25,4,1.0
26,1,1.0
27,2,1.0
28,2,1.0
29,1,0.8748334245388176
30,0,1.0
31,2,1.0
32,0,1.0
33,4,0.6300217718253069
34,0,1.0
35,0,1.0
36,0,1.0
37,0,1.0
38,0,1.0
39,6,1.0
40,0,1.0
41,0,1.0
42,1,1.0
43,2,1.0
44,7,1.0
45,0,1.0
46,0,1.0
47,0,1.0
48,0,1.0
49,1,1.0
50,1,1.0
51,3,0.9598610880265696
52,0,1.0
53,0,1.0
54,4,0.6300217718253069
55,4,0.6217022947237038
56,3,0.9681098013224925
57,0,1.0
58,0,1.0
59,1,1.0
60,0,1.0
61,0,1.0
62,1,1.0
63,0,1.0
64,0,1.0
65,1,1.0
66,0,1.0
67,3,0.7462453561089121
68,0,1.0
69,8,0.9201129282447001
70,3,1.0
71,2,1.0
72,0,1.0
73,0,1.0
74,0,1.0
75,6,1.0
76,7,1.0
77,3,1.0
78,0,1.0
79,0,1.0
80,0,1.0
81,0,1.0
82,3,1.0
83,0,1.0
84,2,1.0
85,0,1.0
86,0,1.0
87,6,0.9539781595755656
88,1,1.0
89,7,1.0
90,0,1.0
91,0,1.0
92,3,1.0
93,1,1.0
94,0,1.0
95,0,1.0
96,0,1.0
97,0,1.0
98,0,1.0
99,5,1.0
100,5,1.0
101,0,1.0
102,0,1.0
103,3,1.0
104,0,1.0
105,2,1.0
106,0,1.0
107,6,1.0
108,2,1.0
109,7,1.0
110,8,1.0
111,0,1.0
112,0,1.0
113,2,1.0
114,5,1.0
115,0,1.0
116,8,1.0
117,0,1.0
118,2,1.0
119,6,0.9539781595755656
120,0,1.0
121,0,1.0
122,4,0.6187397603993054
123,0,1.0
124,3,1.0
125,0,1.0
126,3,0.9598610880265696
127,7,1.0
128,0,1.0
129,6,0.9539781595755656
130,3,1.0
131,7,1.0
132,4,1.0
133,1,1.0
134,2,1.0
135,3,1.0
136,3,0.9598610880265696
137,0,1.0
138,0,1.0
139,1,1.0
140,1,1.0
141,0,1.0
142,2,1.0
143,8,1.0
144,0,1.0
145,4,1.0
146,0,1.0
147,2,1.0
148,3,0.9550076950165384
149,8,1.0
150,0,1.0
151,6,1.0
152,0,1.0
153,0,1.0
154,0,1.0
155,2,1.0
156,5,1.0
157,2,1.0
158,4,1.0
159,0,1.0
160,0,1.0
161,0,1.0
162,7,1.0
163,3,0.6831671689681857
164,0,1.0
165,0,1.0
166,0,1.0
167,4,1.0
168,0,1.0
169,4,1.0
170,0,1.0
171,1,1.0
172,4,0.5997383179171126
173,3,1.0
174,1,1.0
175,1,1.0
176,0,1.0
177,2,1.0
178,0,1.0
179,4,0.6300217718253069
180,1,1.0
181,0,1.0
182,5,1.0
183,0,1.0
184,3,0.9598610880265696
185,0,1.0
186,1,1.0
187,0,1.0
188,5,1.0
189,0,1.0
190,6,1.0
191,0,1.0
192,0,1.0
193,0,1.0
194,0,1.0
195,0,1.0
196,2,1.0
197,0,1.0
198,5,1.0
199,5,1.0
200,0,1.0
201,0,1.0
202,0,1.0
203,0,1.0
204,7,1.0
205,0,1.0
206,0,1.0
207,0,1.0
208,1,1.0
209,0,1.0
210,0,1.0
211,0,1.0
212,0,1.0
213,0,1.0
214,2,1.0
215,2,1.0
216,0,1.0
217,3,1.0
218,5,1.0
219,4,0.8197297187844308
220,1,0.9541922266735924
221,1,0.9683977474415306
222,2,1.0
223,0,1.0
224,0,1.0
225,0,1.0
226,6,1.0
227,7,1.0
228,3,0.9598610880265696
229,0,1.0
230,1,1.0
231,0,1.0
232,5,0.6634341346446775
233,3,1.0
234,4,0.8197297187844308
235,0,1.0
236,0,1.0
237,0,1.0
238,0,1.0
239,1,1.0
240,0,1.0
241,5,0.6286915934219296
242,0,1.0
243,1,1.0
244,4,0.6424246502990953
245,0,1.0
246,4,1.0
247,1,1.0
248,3,0.9598610880265696
249,0,1.0
250,5,0.4859403048948105
251,3,0.709366288332269
252,1,1.0
253,0,1.0
254,0,1.0
255,0,1.0
256,0,1.0
257,0,1.0
258,0,1.0
259,6,1.0
260,0,1.0
261,0,1.0
262,7,1.0
263,8,1.0
264,0,1.0
265,0,1.0
266,0,1.0
267,0,1.0
268,0,1.0
269,0,1.0
270,6,1.0
271,0,1.0
272,7,1.0
273,0,1.0
274,0,1.0
275,5,0.545206040430679
276,3,0.7387450208129421
277,0,1.0
278,5,1.0
279,0,1.0
280,3,1.0
281,1,0.9932269321866563
282,2,1.0
283,5,0.5118680417858211
284,1,1.0
285,0,1.0
286,5,0.8440139668138008
287,0,1.0
288,0,1.0
289,4,0.8197297187844308
290,0,1.0
291,2,1.0
292,0,1.0
293,2,1.0
294,0,1.0
295,0,1.0
296,5,1.0
297,4,1.0
298,1,0.8041797667902327
299,3,1.0
300,0,1.0
301,3,1.0
302,5,1.0
303,2,1.0
304,0,1.0
305,1,1.0
306,0,1.0
307,5,1.0
308,0,1.0
309,0,1.0
310,0,1.0
311,1,1.0
312,0,1.0
313,5,1.0
314,8,1.0
315,3,1.0
316,0,1.0
317,0,1.0
318,1,1.0
319,0,1.0
320,0,1.0
321,0,1.0
322,5,1.0
323,0,1.0
