document_index,assigned_topic,assigned_topic_probability
0,18,0.09
1,16,0.406
2,18,0.404
3,19,0.648
4,27,0.549
5,11,0.875
6,24,0.016
7,9,0.774
8,36,0.023
9,2,0.304
10,1,0.88
11,0,0.69
12,13,0.172
13,24,0.491
14,40,0.722
15,18,0.937
16,6,0.634
17,14,0.025
18,4,0.5
19,18,0.153
20,29,0.048
21,0,0.599
22,31,0.777
23,8,0.036
24,27,0.784
25,33,0.706
26,31,0.752
27,27,0.245
28,28,0.394
29,6,0.12
30,4,0.239
31,15,0.303
32,24,0.319
33,24,0.175
34,31,0.189
35,11,0.901
36,35,0.784
37,17,0.344
38,9,0.948
39,29,0.239
40,4,0.407
41,16,0.814
42,31,0.443
43,31,0.235
44,9,0.369
45,5,0.501
46,0,0.621
47,2,0.406
48,33,0.431
49,31,0.264
50,20,0.535
51,22,0.219
52,12,0.868
53,7,0.747
54,-1,0.41
55,27,0.747
56,0,0.007
57,3,0.344
58,32,0.44
59,23,0.47
60,19,0.749
61,8,0.963
62,5,0.38
63,18,0.351
64,14,0.611
65,21,0.281
66,5,0.141
67,8,0.962
68,3,0.81
69,16,0.958
70,10,0.218
71,8,0.018
72,22,0.437
73,19,0.934
74,7,0.138
75,28,0.117
76,13,0.069
77,13,0.765
78,19,0.786
79,4,0.695
80,16,0.053
81,23,0.723
82,4,0.449
83,22,0.158
84,0,0.295
85,24,0.501
86,0,0.33
87,6,0.97
88,13,0.475
89,24,0.372
90,29,0.673
91,18,0.651
92,4,0.002
93,15,0.618
94,32,0.244
95,2,0.375
96,29,0.706
97,15,0.557
98,-1,0.369
99,28,0.167
100,0,0.505
101,14,0.319
102,7,0.913
103,23,0.534
104,1,0.866
105,2,0.39
106,21,0.827
107,40,0.057
108,0,0.298
109,18,0.078
110,32,0.032
111,11,0.919
112,19,0.717
113,34,0.625
114,29,0.532
115,11,0.57
116,30,0.639
117,27,0.827
118,20,0.597
119,17,0.749
120,37,0.281
121,35,0.977
122,40,0.032
123,27,0.387
124,14,0.882
125,3,0.181
126,4,0.141
127,38,0.365
128,14,0.428
129,3,0.933
130,8,0.836
131,-1,0.464
132,21,0.973
133,23,0.642
134,14,0.874
135,30,0.246
136,19,0.489
137,39,0.03
138,31,0.009
139,2,0.705
140,10,0.118
141,30,0.548
142,21,0.696
143,30,0.032
144,13,0.449
145,0,0.684
146,31,0.89
147,31,0.299
148,25,0.974
149,15,0.845
150,-1,0.651
151,29,0.392
152,26,0.711
153,27,0.816
154,6,0.303
155,29,0.993
156,29,0.909
157,35,0.486
158,22,0.723
159,29,0.524
160,15,0.761
161,28,0.827
162,28,0.023
163,31,0.079
164,34,0.336
165,-1,0.918
166,31,0.398
167,32,0.888
168,21,0.462
169,20,0.289
170,29,0.901
171,18,0.561
172,16,0.36
173,32,0.044
174,32,0.111
175,7,0.139
176,33,0.365
177,12,0.607
178,4,0.308
179,35,0.066
180,8,0.265
181,7,0.409
182,10,0.992
183,19,0.393
184,5,0.089
185,5,0.581
186,15,0.92
187,8,0.787
188,7,0.836
189,37,0.928
190,24,0.637
191,-1,0.995
192,3,0.033
193,33,0.835
194,10,0.857
195,5,0.917
196,26,0.478
197,34,0.788
198,15,0.195
199,30,0.603
200,16,0.359
201,3,0.596
202,32,0.676
203,37,0.347
204,40,0.216
205,3,0.322
206,22,0.664
207,25,0.677
208,2,0.741
