Topic,Count,Name
-1,13,-1_synthetic_topic
0,11,0_synthetic_topic
1,7,1_synthetic_topic
2,11,2_synthetic_topic
3,8,3_synthetic_topic
4,14,4_synthetic_topic
5,11,5_synthetic_topic
6,12,6_synthetic_topic
7,11,7_synthetic_topic
8,13,8_synthetic_topic
9,6,9_synthetic_topic
10,9,10_synthetic_topic
11,8,11_synthetic_topic
12,8,12_synthetic_topic
13,9,13_synthetic_topic
14,7,14_synthetic_topic
15,18,15_synthetic_topic
16,8,16_synthetic_topic
17,3,17_synthetic_topic
18,9,18_synthetic_topic
19,10,19_synthetic_topic
20,8,20_synthetic_topic
21,6,21_synthetic_topic
22,16,22_synthetic_topic
23,13,23_synthetic_topic
24,15,24_synthetic_topic
25,3,25_synthetic_topic
26,5,26_synthetic_topic
27,10,27_synthetic_topic
28,6,28_synthetic_topic
29,17,29_synthetic_topic
30,10,30_synthetic_topic
31,16,31_synthetic_topic
32,14,32_synthetic_topic
33,6,33_synthetic_topic
34,6,34_synthetic_topic
35,10,35_synthetic_topic
36,5,36_synthetic_topic
37,5,37_synthetic_topic
38,6,38_synthetic_topic
39,9,39_synthetic_topic
40,8,40_synthetic_topic
